id,customer_id,validation_type,total,processing_state,validations,capture_lat,capture_long,created_at,store_id,retailer_id,turk_submit_count,invalid_receipt,ref_number,appr_code,receipt_code,cashier,payment_trans_id,phone_data,verified_total,pending_acceptance_at,pending_credit_at,store_number,receipt_scan_content,fraud_type,
962404,4162,ocr,,invalid_receipt,ocr_unmatched,,,6/26/13 19:23,,1,,,,,,,,1.7.0:android:VS840 4G_4.0.4,,,,,,,
1521609,4162,turk,121.32,complete,turk_matched,,,9/8/13 3:47,2789,1,3,,0,,90 15 155 124,Jan D,,"1.8:ios:iPhone3,1_6.1.3",1,,,,,,
1927574,4162,turk,5.39,complete,turk_matched,,,10/18/13 18:32,116386,57,1,,,42614,,Ashley,,"2.0:ios:iPhone3,1_7.0",1,,,,,fraud,
1927689,4162,turk,4.63,complete,turk_matched,,,10/18/13 18:53,116386,57,1,,,85214,,Anndstasia,,"2.0:ios:iPhone3,1_7.0",1,,,,,,
2046635,4162,turk,52.28,complete,turk_matched,,,10/29/13 1:29,1979,3,1,,,,2-3301-2225-0077-5923-8,,,"2.0:ios:iPhone3,1_7.0",1,,,,,,
2099520,4162,turk,10.54,complete,turk_matched,,,11/2/13 18:34,2789,1,1,,2700,,90 17 8 179,Jacob K,,2.0.0:android:VS840 4G_4.0.4,1,,,,,,
2392982,4162,turk,9.69,complete,turk_matched,,,11/18/13 1:20,116386,57,1,,,,,Troi,,"2.0:ios:iPhone3,1_7.0.3",1,,,,,,
3089652,4162,turk,11.25,complete,turk_matched,,,12/21/13 2:20,,87,1,,,,,,,"2.0.6:ios:iPhone3,1_7.0.3",,,,,,,
3993876,4162,ocr,15,complete,,,,1/26/14 20:22,,3,,,,,Feb-28,,,"2.0.6:ios:iPhone6,1_7.0.4",,,,,,,
4368961,4162,turk,58.71,complete,turk_matched,,,2/12/14 4:18,,3,1,,,,,,,"2.0.6:ios:iPhone6,1_7.0.4",1,,,,,,
4414820,4162,turk,76.57,complete,turk_matched,,,2/14/14 19:11,,1,2,1,84313,,,,,"2.0.6:ios:iPhone6,1_7.0.4",1,,,,,,
5608076,4162,turk,,complete,turk_matched,,,4/1/14 15:02,,87,2,,,,337000010022,,,"2.1:ios:iPhone6,1_7.1",,,,,,,
5807279,4162,turk,58.95,complete,turk_matched,,,4/9/14 2:17,,3,1,,,,,,,"2.1:ios:iPhone6,1_7.1",1,,,,,,
6702789,4162,turk,78.26,complete,turk_matched,,,5/13/14 2:41,177738,99,1,,,,,,,"2.3.2:ios:iPhone6,1_7.1.1",1,,,,,,
7026469,4162,turk,74.01,complete,turk_matched,,,5/24/14 1:48,2789,1,1,,0,,90 12 201 159,Rosa 9,,"2.3.2:ios:iPhone6,1_7.1.1",1,,,,,fraud,
7158589,4162,turk,65.83,complete,turk_matched,,,5/28/14 3:22,177738,99,1,,,454435,C0214 #0684,Sara,,"2.3.2:ios:iPhone6,1_7.1.1",1,,,,,,
7591023,4162,turk,59.67,complete,turk_matched,,,6/11/14 0:57,,3,2,,,,Feb-61,,,"2.4:ios:iPhone6,1_7.1.1",1,,,,,,
